,Sentence,Emotion
3783,When I learnt that my best friend had failed the exams.,digust
3784,I broke my friend's badminton racket and she kept quiet about it.,guilty
3785,"\Boy, you have been admitted to the medicine school and your á",joy
3786,I was in form five at the boarding school and my friends and I á had gone drinknig beer in the nearby village.  And we were caught á red handed there by a form master.,fear
3787,When my mother quarrelled with my aunt over me.,anger
3788,My elder brother had been expelled from college and he was so á frustated that he attempted suicide - he drank bottle fragments.  á I was very sad when I learnt this.,sadness
3789,"I found out accidentaly that while my uncle was away in Canada, my á aunt had been bedding a young man on a regular basis.",digust
3790,It was during a school holiday - I was found necking a girl in my á room by my father.,shame
3791,I was in grade seven and my class was planning a protest against á a rude and immoral teacher.  I sneaked out and told the á headmaster about it and so the plan was foiled.,guilty
3792,"I won the first prize at the science fair, the first of the kind á at school and I was only in form II then.  ",joy
3793,A close relative of mine died in a serious car accident.  I was á one of the first two people to see the corpse and I had to do it. á  Before going in to see it I was afraid as it was the first time á that I was seeing a corpse.,fear
3794,My younger brother destroyed and gave away some of the books that á I had intended to keep for as long as possible.,anger
3795,"When a close relative of mine passed away, it was the first time á that someone so close to me had died.",sadness
3796,A person whom I thought to be honest took and spend the little á money that I had and I had no way of getting any money in the á few following months.,digust
3797,"While watching a religious film, I got very excited and made a á number of comments which were reproached to me by an elderly á person who respected me.",shame
3798,I beat up a female friend after I heard the defamatory stories that á she had been telling.  I was later called to explain my á behaviour.,guilty
3799,"My 21st birthday celebration, when I cut the cake and received á the presents.",joy
3800,Before one of my final exams of the third year - natural á sciences.,fear
3801,When some seniors tried to scold and insult some juniors on á account of what the juniors were supposed to have said at á secondary school.,anger
3802,"When an uncle of mine, who was close to me, passed away after á having had a stroke, before his first daughter could be named.",sadness
3803,When my sister's boyfriend accused her of having been sleeping around.,digust
3804,When I could not hold my bladder while making a telephone call á and ended up wetting myself.,shame
3805,When I was made to feel responsible for the emotional state a friend of á mine was in.,guilty
3806,My fiancT left me for my best friend.,sadness
3807,People who discriminate other people disgust me.,digust
3808,"On New Years eve I drank too much alcohol, so much that I had to á vomit in the presence of other people.",shame
3809,I have cut loose from my father a few years ago. I know he is á very sad about this.,guilty
3810,A recurrent lovesickness.,joy
3811,I was sexually assaulted one night by a stranger.,fear
3812,Meddlesomeness of my mother about the way I live. She thinks I am á to free in my behavior for instance when a boyfriend stays the á night.,anger
3813,The dying of a close member of the family.,sadness
3814,"Seeing maltreated, dead animals.",digust
3815,A much older man took advantage of me during my childhood (four á to eight years of age).,shame
3816,"When my friend needed my help very much and I, at that moment, made á an end to our relationship.",guilty
3817,When I passed a very important exam.,joy
3818,When a man rang the doorbell and wanted to enter the house with á violence. I was alone at home that moment.,fear
3819,"A friend came to visit me late one night. He promised to stay á only a quarter of an hour, but he stayed 5 hours !! He didn't á leave and I was very angry.",anger
3820,"I had to terminate a training because I wasn't suited for it. I á was very sad about this, because I very much wanted to finish á that training.",sadness
3821,During my birthday party a friend drank too much alcohol. So much á that he had to throw up. Worst of all was that he couldn't leave á my friend alone and that he was molesting her.,digust
3822,I tried to swindle a jeweller because my watch was broken and I á wanted to have it repaired it was a pity but they detected it.,shame
3823,"Someone had to do a lot of efforts to make something work. With á my help he would have finished much sooner, but I wasn't in the á mood to help him.",guilty
3824,I went to visit friends and it was very companionable.,joy
3825,"I wanted to get in contact with a girl I loved, but I was afraid á she would refuse me.",fear
3826,During military service a superior reproached me unjustly. This á led to friction in a lot of situations.,anger
3827,Disappointed love. The girl made an end to our relationship while á I thought she was in love with me.,sadness
3828,During military service I heard the story of someone who tried to á commit suicide and as a result of this got a week custody.,digust
3829,I thought of myself as being clumsy when I made love for the á first time with a girl.,shame
3830,A friend of mine had a bicycle-accident because I pulled at his á handlebar.,guilty
3831,Sitting alone in a quiet room concentrating on things happening á around me which pleases me.,joy
3832,"Sitting alone in a quiet room, concetrating on things happening á around you. Thoughts come into my mind which make me afraid.",fear
3833,When a teacher tells a story which isn't true. It only reflects á his way of interpreting reality.,anger
3834,I have high expectations for my future but if I pursue the á subject in this manner I will not attain this.,sadness
3835,I heard a broadcasting programme about parapsychology. The people á in this programme used very difficult words which I couldn't á understand. They acted exaggerated without showing any feeling.,digust
3836,A girl asked me why I didn't dance. I told her I was ashamed to á dance. I felt myself ashamed having to tell her this.,shame
3837,I saved up money for a good purpose. As I also have to organise a á party I am afraid there will rest only a little money for the á good purpose I feel guilty about this.,guilty
3838,My sister and brother in law returned from Sri Lanka where they á adopted a child. I went to pick them up at the airport.,joy
3839,During a football game I made an offence towards an acquaintance. á Later on this acquaintance also tackeled me and the game became á very rude.,fear
3840,I work at a petrol station. When there is a foreigner who wants á petrol my collegues treat him very impolite.,anger
3841,"An uncle of mine who just retired, having worked hard all his á life, got a cerebral hemorrhage.",sadness
3842,A student who lives in the same house where I live is an alcoholic. He á tries to manipulate other people with his money when he has drunk á too much.,digust
3843,When I went to a disco with a friend I started behaving badly á embarrassing him without reason.,shame
3844,"When I talked to another student about the notes she got last á semester, not knowing that she got a lot of bad grades.",guilty
3845,When I got my drivers licence.,joy
3846,When I stayed alone in a house in Great Brittain and there was a á lot of rumour in the newspaper about a murderer still being free.,fear
3847,The stories about the way my grandmother treated my mother.,anger
3848,When my mother was proved to suffer from a very serious disease.,sadness
3849,The stories about my aunt who was beaten and humiliated by my á uncle.,digust
3850,"I omitted to do a favor to a friend, while he was very much in á need for help.",shame
3851,When I had a little accident with my boss'car.,guilty
3852,Every year during carnival I am very joyful I have an intense á feeling of happiness then.,joy
3853,The only event I can remember is having a nightmare when I was á very young (3 years old) I dreamt about a machine which was going á to crush me.,fear
3854,I am usually angry at myself. This happens often. For instace á when I want to pet without falling in love and it soon proves á that I have fallen in love with him.,anger
3855,Losing a boyfriend for the second time to my friend. He fell in á love with her. The same thing happened a few months earlier with á another boyfriend.,sadness
3856,There is a person whom I disgust. Evrey time I see her I get this á terrible feeling I disgust her whole appearance.,digust
3857,When I am angry at someone without a good reason. Later on it á proves that he didn't do anything wrong.,shame
3858,My mother always evokes feelings of guilt in me. For instance á when I miss the last bus I know she will be concerned for me and á stay awake till I arrive.,guilty
3859,When I came again in contact with a girl I liked very much. And á most important she also liked me.,joy
3860,DO NOT REMEMBER.,fear
3861,After a hard day at the university I also had to make dinner that á evening. It failed because of a frying pan which broke.,anger
3862,When my father had a cerebral hemorrhage.,sadness
3863,A story I heard recently about a baby dying after sexual á abuse.,digust
3864,During a party I overheard a conversation about china. When I á wanted to give my opinion one of the people came out to be Chinese á and his opinion was right of course.,shame
3865,When I didn't bring my girlfriend home one night. Later she told á me that a cardriver solicited her.,guilty
3866,When an old schoolfriend phoned me to arrange an appointment to á talk about old memories. I hadn't seen him for 8 years.,joy
3867,Standing in a crowed shop or in a closed room with too much á people in it. This gives me a fearful experience.,fear
3868,My older brother who gives me unwanted advices about problems in á my relationship with my girlfriend.,anger
3869,My girlfriend left the house in which we lived together a few á months ago. This made me very sad.,sadness
3870,"When my parents behave very \witty\"" towards me, they make insipid á",digust
3871,Making an unexpected talk with a professor in the canteen. This á made me shy.,shame
3872,"Flirting with other girls while I already had a very good á relationship. When there are problems in my relationship, the á flirting increases as does the feeling of guilt.",guilty
3873,"Occurs frequently. A recent experience: when going out with many á friends, nice music, after the examinations, I felt so happy I á could have embraced everybody.",joy
3874,"I lived alone in a repulsive area in the city of Rotterdam. I was á annoyed, heard a lot of Burglary and assaults. Especially in the evening á and the night I frequently felt anxious.",fear
3875,Being treated unfairly and being hurt by someone I love.,anger
3876,"When I finished a relation after four years, leading to much á sorrow for the other one and myself (\although it was the best á",sadness
3877,"Every time I meet a certain person. We cannot get on well á together, we dislike each other.",digust
3878,When coming up for trial because of shop lifting.,shame
3879,Being catched when stealing.,guilty
3880,I fell over head and ears in love with someone who appeared to be á in love with me. it made me so happy that I could hardly sleep á and eat for one week.,joy
3881,One night I had to bike home all alone after a party. Then I á found out that I was pursued by a man in a car.,fear
3882,"I had a quarrel with my father, because I was of the opinion that á he decided in an authoritarian way which TV program we should á watch. I became very angry and started throwing things through á the room.",anger
3883,"My boyfriend finished our relationship when I started studying á psychology in Nijegen, because then we would not be able to meet á frequently anymore.",sadness
3884,"A friend had a quarrel with the mother of her boyfriend because á she and her friend decided to go and live together. She needed á money for removal, then she made a great effort to reconcile.",digust
3885,"I was catched when, as a little girl, I played tricks. I was very á startled then and wet my pants.",shame
3886,"I was of the opinion that 12.00 pm was too early to be back at á home after going out, so I stayed away longer, knowing that my á mother would be worried.",guilty
3887,I was called and invited to have a talk about a job I wanted to have.,joy
3888,Once late at night (around midnight) a person asked me to give á him a lift. He suddenly tried to attack me but I could escape. á After this he followed me for a little while.,fear
3889,There was a lot of irritation between me and a person who lives á in the same house where I live. Suddenly it became too much for me and I á accused him of several things.,anger
3890,The end of a relationship (after 4 years) by doing this I hurt á the other person very much.,sadness
3891,I saw a terrible accident in which the driver of a motor was á thrown through the frontwindow of a car. His face was completely á away.,digust
3892,I am troubled by hair growing in my neck. I was troubled by this á for a long time and was much ashamed when someone brought his/her á hands close to my face.,shame
3893,Against the will and without the approval of my parents I went á for a few days to my boyfriend in Germany.,guilty
3894,When a friend of me came for an unexpected visit.,joy
3895,When I thought the house was on fire at night.,fear
3896,When I was at an official meeting I asked a question to a person. á His response was not directed at me but at the chairman.,anger
3897,When the mother of a good friend of mine died.,sadness
3898,A teacher was very blunt in his relation to a child so that the á child was very upset when arriving at home.,digust
3899,I was very angry at someone.,shame
3900,That I didn't take the time to make an appointment with someone.,guilty
3901,After I saw my family and good friends back after staying one á year in a foreign country. ,joy
3902,When a good friend of mine behaved in a very cool manner to me á for a very long time.,fear
3903,I was in the library of medical psychology and walked into the á wrong direction. A man who came out of a room threated me very á denigrating and I became very angry in a resisting manner.,anger
3904,A good friend of mine died. During the funeral I felt an intense á feeling of sadness.,sadness
3905,When an uncle of mine who is very ill started to cough wich á sounded very dirty. (He can't help it of course).,digust
3906,At Christmas night there was a good movie on television which I á wanted to see for years. I was whining about it till someone told á me it was very childish. Then I felt shame.,shame
3907,A good friend of mine who is at the moment in a foreign country. á I didn't write her for several months and now I feel guilty.,guilty
3908,When I go out with my friend with enough money and good sense to á our favorite dancing.,joy
3909,When going out I am threatened regularly by two punk-girls.,fear
3910,A friend started to shout at me. He called me an old frump.,anger
3911,My relationship with a boyfriend was finished and I didn't á succeed a years-course.,sadness
3912,My father is someone I disgust. So when he comes close to me á a feeling of disgust overwhelms me. When I stay a week-end at my á parent's place I will remember it for long time.,digust
3913,After a party in which I made love with a boy in public. Later on á I heard that others were talking about me and called me a slut.,shame
3914,"When I got associated with a boy one year ago, I neglected my á best friend. When the relation with this boy finished she behaved á very easy-going towards me. I felt guilty then.",guilty
3915,When I made the winning goal during a very important football á game.,joy
3916,A terrible cloud-burst started when we were camping in a tent on á a great bald field.,fear
3917,"Seeing for the first time pictures about the so called á \treatment\"" of Jewish people in Nazi-Germany during World War II.""",anger
3918,The death of my mother-in-law after a long sick-bed. at the á moment of dying I was with her.,sadness
3919,I was looking at a one-man show on television. He told very á disgusting things so that I started to be disgusted with it. á (Later on it proved that this was his intention).,digust
3920,I was drinking a glass of wine and eating something when there á suddenly appeared pictures about the famine in some parts of á Africa.,shame
3921,When I don't go to my parents on Sunday and phone them to tell á them that I have to study. The truth is that I listened to sports á on the radio.,guilty
3922,When it appeared that I was not pregnant when I was several weeks á overtime.,joy
3923,The same situation as with sadness. I was afraid about what my á parents would further do to distroy my relationship.,fear
3924,Once again my parents distroyed a relationship.,anger
3925,I had this feeling when my parents distroyed a relationship with á a boy because they thought he was bad and irresponsible.,sadness
3926,After the accident which I described in SHAME. I came to myself á and saw how terrible everything looked like. I disgusted myself á and everything I saw.,digust
3927,A sudden end to the relationship with my first girlfriend.,sadness
3928,I heard part of a conversation in which one talked very low about á women.,digust
3929,"In an important situation for me, my father behaved inadequately.",shame
3930,When I took the car of someone without saying it to him.,guilty
3931,I felt joy when I heard that I was accepted for the Free á University in Driebergen.,joy
3932,When a good friend of me told me one evening that she didn't want á to live anymore.,fear
3933,"I felt anger when at the end of a telephone call, a good friend á told me that she would go to travel next year with another good á friend. We couldn't talk this out.",anger
3934,I was very sad when I had to leave persons with whom I had a very á intense relationship I also had to leave the environment which á was part of this.,sadness
3935,I felt disgust after watching a picture on television about á torturing political prisoners in India (this happened in the á India of Indira Ghandi).,digust
3936,I made a very insulting remark against a person whom I care for á very much. This event was caused by a third person who didn't á like the person I insulted.,shame
3937,I felt guilt towards my mother when I went to live on rooms in á Nijmegen where I study.,guilty
3938,When my boyfriend and I went out for a dinner and subsequently á went to his family. We had a very nice evening.,joy
3939,When I walk through streets late at night. This is because I and á my friends were attacked one night without any reason for it.,fear
3940,When I got the feeling that I had to do all the housekeeping á while my boyfriend didn't do anything. This happened in a period á of exams when I had to study very hard.,anger
3941,When my best friend got a boyfriend. Because of this a á relationship of ten years was finished abruptely.,sadness
3942,I feel disgust when hearing or seeing other people being treated á inhumanely. For example torturing in chili.,digust
3943,In my opinion guilt is a feeling which goes together with shame. á Here then I refer to the situation of guilt.,shame
3944,When I became angry at my boyfriend without any reason. I know he á cannot bear me being angry at him and that he can't study anymore á then.,guilty
3945,The day I heard that I passed the high school exam.,joy
3946,"I was living in rooms in a very lonely, quiet neigbourhood. á During the night it was very silent and this frightened me. The á fact of being alone in that house frightened me.",fear
3947,We had to move to a very different city because the company where á my father worked also moved to that place. It was very difficult á for me to make new friends than.,anger
3948,A very close friend of mine died. I read it in the newspaper. I á didn't know what to do and thought about it the whole day.,sadness
3949,A girl who also hires a room in the house where I live always á tries to make a quarrel with everyone available she disgusts me.,digust
3950,A teacher spent a lot of time helping me without wanting to be á paid for it. For the exam I didn't got a good grade and I felt á ashamed.,shame
3951,I knew I had to take an exam very soon but yet I couldn't start á studying. I also knew it was very imprtant to succeed the exam á this time.,guilty
3952,"When Christmas holiday started, I felt very joyful when I á finished my last exam.",joy
3953,I was raped once when I went through a dark alley at the back of á our house. The man pushed me in the bushes. I fought back and á succeeded to escape.,fear
3954,I was very angry at my father when he didn't give me as much á money as my brother to use for studying. Once again my brother á was better off then me.,anger
3955,When my gradmother died.  I felt very sad then ... The feeling á started to be worse after a while.,sadness
3956,When I ate a rotten apple.,digust
3957,When I didn't meet an appointment I had made. The person phoned á me but I thought of something (I told I was ill) so that I didn't á have to go.,shame
3958,When I have to take exams I am very excited and have not much á time for the housekeeping. Then my friend has to do everything.,guilty
3959,My boyfriend was playing with my cat. He was playing games with her á and telling nice things to her. ,joy
3960,When I slept for the first time all alone in the house where I á live now. A man phoned me at 2.00 am. He wanted something from á me. I was afraid.,fear
3961,My boyfriend told me that I had very high demands towards him. In á my opinion this was wrong.,anger
3962,"I hadn't been at my parent's place for a long time. When I went to á visit them I had high expectations, but when I was there it was á very different from what I expected.",sadness
3963,I read a story in the newspaper about butchers treating their á animals very badly. They disgusted me.,digust
3964,"I was eating in a very nice restaurant, when the servant asked á whether I liked the food I told him that I liked it but that á there was one thing which wasn't so good. The servant than worked á very hard to make it good.",shame
3965,A few weeks ago I thought about an exam I had to take soon. I á remembered this just before I had to go to sleep. I felt guilt á because at the beginning of the year I planned to succeed.,guilty
3966,During my high school time I succeeded to play a concert of á Mozart on the piano when I gave my first performance I succeeded á to play it very well.,joy
3967,"When a car ran into me. The moment that I felt on the street I á thought \This is my end, I am going to die\"".""",fear
3968,When our cat was killed in a car-accident I was very angry at the á driver of the car because he didn't take enough care.,anger
3969,"There is a boy who I love very much. I asked him to have dinner á with me, but he refused I don't know why he didn't go with me, á but I felt very lonely.",sadness
3970,I saw a dog who was eating excrements.,digust
3971,During my Highschool time I was chairman of the student's á comitee. In this function I once had to make a speech to a large á audience and I was very nervous. After three sentences I forgot á my text.,shame
3972,"During a holiday in East-Germany I got aquainted with a boy who á lived there. We started writing, but I only wrote once. I felt á ashamed because I probably was one of his sparse contacts with á western Europe.",guilty
3973,When I saw a good friend again after not having seen her for a á long time.,joy
3974,When I slipped on a glazed frost road and a car almost ran into á me.,fear
3975,When people without my permission pry in my belongings and take á things out of it.,anger
3976,When I noticed that my parents were not in such a prosperity as á most people in my surroundings.,sadness
3977,Seeing a pornographic movie in which animals were used.,digust
3978,When I went for the first time in my life to a nudist-beach.,shame
3979,I was caught sneaking sweets.,guilty
3980,When I went to visit a friend in the hospital. She had to undergo á an operation for rupture. I was glad to hear that the operation á succeeded and that she was relieved of her pain.,joy
3981,"I had an appointment with a good friend. He came 3 hours later á than we agreed upon. During the last hour of waiting I was afraid á something might had happened, because usally he is in time.",fear
3982,I worked together with another student on a computer-assignment. á She didn't do her best and didn't prepare herself for it. She á expected me to explain it to her.,anger
3983,I had a quarrel with a good friend about the fact that I didn't á pay her a visit when she expected me to come. Hereafter I was á very sad because it became a real quarrel.,sadness
3984,I was hitch-hiking when a man stopped and gave me a lift to á Nijmegen. During the ride he asked me whether I was in for fun. á The man was fat and tatooed.,digust
3985,I forgot something I agreed upon with a good friend.,shame
3986,"I became very angry with my friend because he didn't do shopping, á while we agreed on him doing this. My being angry was proved to be á without reason and I felt guilty about it.",guilty
3987,When I got the positive result of my examination to achieve the á Bachelor Degree in Plychology.,joy
3988,When I was 12 years old I frequently was pursued by others and á got sound thrashes.,fear
3989,"My girlfriend one day went out and promised to be back at 6.00 pm á however she first arrived at 10.00 pm, without a message (we had á to go out that evening).",anger
3990,When my girlfriend decided to finish our relation.,sadness
3991,When once again I drank too much and felt very rotten the morning á after.,digust
3992,When I overslept for the second time on the day I had an á examination.,shame
3993,"When having a relationship, I made love with another girl.",guilty
3994,When the girl with whom I am in love smiles at me.,joy
3995,When biking and I felt very bad (problems with heart and á respiration).,fear
3996,"When a discussion resulted in an insult, which in my opinion, was á not justified.",anger
3997,When I realized that it did not make much sense to start a á relationship with a girl who was not very constructive to á establish a firm relationship.,sadness
3998,When I had to finish those big amounts of homework in time.,digust
3999,"When I gave water to the plants of a friend. Then one plant fell á over, and a little statue broke. I, of course, had to tell him á everything.",shame
4000,When I had broken a piece of glass of the refrigerator by putting á a hot pan in it.,guilty
4001,On my birthday when several good friends came to visit me.,joy
4002,I went to the apartment of my boyfriend and saw some people á before his door. I thought that something had happened.,fear
4003,"My father called me (behind my mother's back) and told me that my á mother disapproved my behavior in the weekend. However, he didn't á tell me the details and left me with unanswered questions.",anger
4004,"I felt very lonely, was very dissatisfied with myself when I á realised that I could feel very jealous of other women because á of my boyfriend.",sadness
4005,"A scene in a film in which one man repressed another one. By á concidence, their position was reversed. The other man was á repressed in an identical way as he did before.",digust
4006,When I do not succeed in making myself clear to other people. á When they do not understand what I say.,shame
4007,After the death of a girl who I disliked.,guilty
4008,"I felt joyful when my boyfriend met me at the station, while at á first he had said that he would not do that.",joy
4009,"I was very startled when, at night at 2.00 am, a boy approached á me and yelled \I fuck you\"", then however he stopped and laughed at á",fear
4010,When someone does not listen to me after having asked me to á repeat what I said. This happened more than one time with the á same person.,anger
4011,I felt very sad when I heard that a friend had committed suicide.,sadness
4012,One night I saw a man being knocked down by two other men. The á victim was kicked against his head.,digust
4013,When I made acquaintance with the parents of my boyfriend for the á first time. They spoke Limburgian (a dutch dialect) and one of my á first remarks was that I disliked Limburgian dialect.,shame
4014,When I cancelled an appointment with an idle story. Afterwards á it appeared that the person had looked forward to it and reserved á time for it.,guilty
4015,"For a few days I felt very miserable, distressed and listless, á with crying fits. When this was over I felt very happy, although á there was no special reason.",joy
4016,"I was testing my new roller skates in the street, suddenly a dog á ran barking in my direction, very threatening. I was very á startled and terribly upset.",fear
4017,"Out on a weekend with a group of people, everybody felt irritated á because at night the music didn't stop in time. And at breakfast á my boyfriend ran away because we didn't agree with him. I felt á angry.",anger
4018,Recently I felt very sad without any reason. It lasted for a few á days. There was nothing I liked in that period.,sadness
4019,"Someone told me a story of Amnesty International: a boy was á killed and his head was put in the litter of his girlfriend. It á looked as if she was pregnant, then she died. It is disgusting, I á can hardly write it down.",digust
4020,I cried for 3 hours because I felt very miserable. Then I called á my boyfriend and he said lovely things to me. After this feeling á disappeared I felt ashamed.,shame
4021,Yesterday my boyfriend and I wanted to play billiards. However á there were boys playing (5 times). My boyfriend then is fed up á and chagrined. In such case I think it is my fault.,guilty
4022,When my boyfriend and I experience something nice or when we have á made a nice walk together.,joy
4023,The weather is very bad (fog and slipperiness) the newcast á reports many traffic accidents and my boyfriend is driving home á and still has 60 kilometers to go.,fear
4024,Someone told me that he would stay at my home for one night. á Therefore I made big efforts to make everything ok (food). One day á before he cancelled the appointment because he had to go to á church with his parents.,anger
4025,We had to take our cat to the vet for mercy killing (an á injection).,sadness
4026,"When people are eating unsavoury (smacking, belching, speaking á with food in their mouth, etc.).",digust
4027,"A girl in our class was nicknamed \fatsy\"". Later, I heard that á",shame
4028,I made an appointment to pick up someone. However I arrived á too late and she had to wait a quarter of an hour.,guilty
4029,One night I had a very good conversation with two friends. I then á realized how worthy they were for me and how happy I was to á have them as friends.,joy
4030,In the morning just before going to the dentist.,fear
4031,When a very close friend with whom I have a very intimate and á bodily relationship (he had a girlfriend) started to avoid me and á didn't want to talk to me any more.,anger
4032,When a good friend with whom I had an intimate relationship made á clear that he didn't want to continue in the same way. He choose á his girlfriend (also a friend of mine).,sadness
4033,When I made love with someone who I didn't really love. Sometimes á I even considered him unlikable.,digust
4034,I had a short lasting sexual relationship with someone I didn't á love.,shame
4035,When I realized that I avoided two good friends with whom I á always shared toys and sorrows. I made up idle stories to avoid á telling them what happened to me.,guilty
4036,"My boyfriend suffered form ill health for some months, this week á the physician told him that he was restored to health.",joy
4037,"When going out in the weekend I have to bike 5 kilometers through á lonely and dark polders, then I always have terrifying fantasies.",fear
4038,"I made an appointment with a friend to drink coffee togehter. á However, for the third time in that week she arrived an hour too á late.",anger
4039,My dear hamster (called Hannes) died at the age of 2 and 1/2 years. á His shape forced me to mercy killing (an injection).,sadness
4040,I read a newspaper report that a little boy was forced to look á while his sister was raped.,digust
4041,We had made an appointment to complete together a piece of work. á It appeared that I was the only one who hadn't prepared anything.,shame
4042,"I call my mother at least once a week. However last week I á completely forgot. This morning she called me, she thought I felt á ill.",guilty
4043,After the funeral of an acquaintance I felt very depressed. That á feeling turned into joy when I heard that I had achieved a good á grade for an examination.,joy
4044,I had to call someone and make an appointment for a conversation. á I was very afraid to fail.,fear
4045,"When, after having cleaned up the kitchen, two hours later I saw á that there was a big mess. It irritated me very much.",anger
4046,One night I was called and told that the father of a close friend á died. When I visited my friend at home and when attending the á funeral I felt very sad.,sadness
4047,I cannot remember exactly such a situation. But I know that á once I went to a very dirty lavatory and that disgusted me.,digust
4048,"Once by coincidence I clutched a stranger (in a rather intimate á way), thinking it was my boyfriend. When by hindsight I á feel ashamed when thinking about it.",shame
4049,"I once torn the inner tube of a bike, that was not mine. Then I á saw it was a brand new one. I felt very guilty then.",guilty
4050,"When I found out that the girl, with whom I was in love, loved me á too.",joy
4051,"When my mother threatened me with thrushing me of the stairs, when á I once more should make a comment.",fear
4052,When being made look a fool by the teacher in front of the class á during a turn.,anger
4053,My mother unjustly became very angry with me and sent me to my á room while my father explained that the way she saw things was á not correct. I had done things with the best intentions.,sadness
4054,My mother was very angry with my little sister and told her to á put her hands on the table in order to beat her hands up. She á forced by means of her power.,digust
4055,"A friend came for dinner with me at home. His parents are á ordinary people. My mother, however, used the very expensive á porcelain dinner-service and the silver cutlery. I felt very á ashamed.",shame
4056,"Once after falling in love, I imagined that particular girl to be á perfect and completely overshadowing my girlfriend. Afterwards I á realized that this image was not objective. I felt guilty against á both girls.",guilty
4057,Once a week I work as a volunteer in a biologic garden. this work á in the garden and the contact with other volunteers filled me á with joy. They also gave me support after I failed passing my á driver's test.,joy
4058,My friend and I planned to search for old documents and utensils á in the cellar. It was very late at night when we arrived in the á cellar. He indicated the place where the police (40 years ago) found á two dead bodies. I got very scared when he told me this story.,fear
4059,"When someone made me a compliment after an examination just at á the moment I needed it. It was amicable, hearty and sincere.",joy
4060,"When I went up the stairs in a high, dark house full of shadows, á passed a door and had the feeling that someone or something was á behind me, although I knew I was alone.",fear
4061,"A friend told me it would be better for me not to be on familiar á terms with another friend, although, in my opinion he had no á reason to say such things. He only said so hoping that I á would search support from him (that, however, was not necessary).",anger
4062,"I had a good relationship with two friends. Once without reason, á they clearly showed that they thought I was naive, dull and á unable to take care for myself, while I expostulated that I could á manage things.",sadness
4063,"When I see that some people remain cold and egoistic with regard á to close friends, even in situations that those friends need á them.",digust
4064,"When I state things with great positiveness and try to convince á others, and it appears that my statement is not right.",shame
4065,"A certain friend evokes positive feelings, when I am with him but á negative feelings when he is not present. I feel the need to á express those negative feelings. However, when I speak about him, á I always think: Why do I like this, he does not deserve this, but á still I do so.",guilty
4066,"A few days ago, I hitch-hiked to Arnhems with a friend. á Everything went well: they picked us up very quickly, the sun was á shining, I was feeling free and, for the first time after long á time, happy. I really had the feeling that I was living at full á speed.",joy
4067,"My grandmother several times has been struck by cerebral á hemorrhages. Until now she recovered well each time, but there is á always the threat to loose her.",fear
4068,"I had made an appointment with three friends. We had to go out á together. When I arrived at the place, the other persons weren't á there. I became very angry because I thought they were gone á without me. That, however, didn't appear to be the case.",anger
4069,"I finished the relationship with my boyfriend, after having felt á myself very unhappy for a long time.",sadness
4070,"A few days after I had finished the relationship with my á boyfriend, we had a quarrel. Then he hit me. At that moment I á found him disgusting.",digust
4071,I was taking a shower in a cubicle in France. Then I discovered á that a few children were loking at me from the adjacent cubicle.,shame
4072,"I know that a certain person feels very lonely, and that she á always looks forward to seeing me. However, often I am too á busy to visit her, then I feel guilty.",guilty
4073,"A close relative of mine underwent a difficult operation, and everything á turned out fine.",joy
4074,When I get into the tube or the train without paying for the á ticket.,fear
4075,"A class-mate urged me to carry out a particular protest along á with him, and when the time came this fellow drew back while I á had to face the situation.",anger
4076,When I failed the entrance exam to IMEC.,sadness
4077,When I saw someone eating live worms.,digust
4078,When I was a child my parents caught me with a pornographic á magazine.,shame
4079,[ I can not remember anything in particular.  What I can remember á is feelings of having done or said something which then had á negative consequences.],guilty
4080,When they told me that I had got a study grant.,joy
4081,When I wore a grotesque figure hanging down my back.,shame
4082,Because I had not studied.,guilty
4083,When my father was saved from a severe work accident.,joy
4084,When I was a child I hid under the sheets out of fear of á darkness.,fear
4085,When I first saw a person begging.,anger
4086,When my basket ball team lost the qualification at a final.,sadness
4087,When I see rotten meat.,digust
4088,When a person whom I do not want to see is continously present.,shame
4089,When I failed an exam I thought I could pass easily.,guilty
4090,When I got to know that I had passed the university entrance á exam.  I thought that I had done one of the exams badly.,joy
4091,"When I was very young, one day, I was in the street with my á father and brother.   While my father was talking to some á friends, I saw a dog and began to pat it.  My father told me á sharply to stop doing it because the dog had mange.  Then my á brother told me that I would die and I could not stop crying á after this.",fear
4092,"We hitch hiked our way back from a town rather drunk.  We were á dropped in another town which was unknown to us.  I needed to á urinate, so I did it on a wall which turned out to belong to the á military headquarters.  They arrested me and made me pay a fine á of 500 pts.  We had to go home on foot (6 km) since it was too á late for anyone to give us a lift.",anger
4093,"I was to meet a girl in a discotheque.  She was very pretty and I á was very happy.  But she did not turn up.  Thank God, there were á some other friends there and I was able to have a more or less á good time.",sadness
4094,"I had a class-mate who was rather stupid.  I did not like him á but I respected him.  When he tried to talk to someone, they á would not listen to him and I could not bear seeing this.",digust
4095,"I met a friend in a discotheque. he was with a girl and he told á me that she was not his girlfriend.  I, to say something, á commented that she must be a viscious woman.  He then told me á that she was his girl.",shame
4096,"I went to a pub with a group of friends (not very close) and á I was with one girl most of the time, while the other girls in the á group wanted to be with me.  They stopped talking to the girl I á was with.",guilty
4097,The day some friends of mine and I decided to go to Galicia on á holiday.,joy
4098,"Before an exam which I, finally did not take.",fear
4099,At home when they lost three pieces of my puzzle.,anger
4100,When I had an argument with a friend.,sadness
